label,H (km asl),mu,sigma,df,Q (g s),Q (g hr),Z (m),dZ (m)
sample_0,10.0,6.075869067629107,0.7709003818087711,128,1190882923.0336413,4287178522921.109,5862.5,8275
sample_1,11.0,6.251345446672614,0.7711436786852157,128,1783797071.8060865,6421669458501.911,6362.5,9275
sample_2,12.0,6.408837100525442,0.7714975020357396,128,2563522304.8315587,9228680297393.611,6862.5,10275
sample_3,13.0,6.551690259978953,0.7719291204106427,128,3561970021.301447,12823092076685.209,7362.5,11275
sample_4,14.0,6.682396230956978,0.7724161222587255,128,4812782450.558809,17326016822011.713,7862.5,12275
